Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
antne,cortar,,,Rudolph (1909)
anto,"saturado, o corpo está cheio, torcer, ferir",,,Rudolph (1909)
antom,"aberto, destapado, lagarta",,,Rudolph (1909)
anton,"acho, acredito",,conjugado,Rudolph (1909)
antschagan,primo,,,Rudolph (1909)
antschak,primo,,,Rudolph (1909)
antschak jukischem,"distribuir, repartir",,,Rudolph (1909)
antschak mõn,primo malvado,,,Rudolph (1909)
antschak po men,"casar, dar a mão ao primo",,,Rudolph (1909)
antschak po merek,como está,,,Rudolph (1909)
antscharak mõn,primo malvado,,,Rudolph (1909)
antschem,ninho,,o seu ninho,Rudolph (1909)
antschukischem,"parente, da casa",,,Rudolph (1909)
antschuknan,cunhada,,,Rudolph (1909)
antschum,"primo, parente",,,Rudolph (1909)
antuk,coberto,,,Rudolph (1909)
ao mek mek,criança pequena,,,Rudolph (1909)
apa an,"chamar, gritar",,,Rudolph (1909)
apane,"largar, deixar",,,Rudolph (1909)
apijun,"papa-mel, irara",,,Rudolph (1909)
apo,pisado,,,Rudolph (1909)
apo,"ferir, torcer",,,Rudolph (1909)
apo anhem,mão fechada,,,Rudolph (1909)
apo hen,fecha a mão,,,Rudolph (1909)
apo wen kan,mão aberta,,,Rudolph (1909)
apo won,abrir a mão,,,Rudolph (1909)
apok,"pendurar, mato, capim, grama, rolha, tampão, assar",,,Rudolph (1909)
apokak,"chamar, gritar",,,Rudolph (1909)
apone,"deixar, largar",,,Rudolph (1909)
apotschik numrin,"mesmo, próprio",,,Rudolph (1909)
apra am,correr,,,Rudolph (1909)
aprahum,ir embora,,,Rudolph (1909)
apram anketot,cozinhar logo,,,Rudolph (1909)
apram him,aquele que vai chegar,,,Rudolph (1909)
apram hum,lavar,,,Rudolph (1909)
apram ni,vem já aqui,,,Rudolph (1909)
apram ti,vem aqui,,,Rudolph (1909)
apre hum,ir embora,,,Rudolph (1909)
aprompi nun,não há perigo,,,Rudolph (1909)
aprompim nun,"não há perigo, não é agora, não há pressa",,,Rudolph (1909)
apromum,ir imediatamente,,,Rudolph (1909)
apron,trazer,,ron = rani,Rudolph (1909)
apron hum,nadar,,,Rudolph (1909)
apronhum njok kuran,nada,,njok =nijuk (verbo conjugado?),Rudolph (1909)
aproni,venham aqui,,,Rudolph (1909)
apronti,correr,,,Rudolph (1909)
apuk,chorar,,,Rudolph (1909)
ara,vermelho,,,Rudolph (1909)
arak,"maduro, muito, completo",,,Rudolph (1909)
arak kuan,"ipecacuanha, corpo maduro",,,Rudolph (1909)
arak mum,"trazer, levar",,,Rudolph (1909)
aram,"pedra, laje",,,Rudolph (1909)
aran,"jovem, adolescente, escamar, descansar",,,Rudolph (1909)
arana,"ananás selvagem, nome de mulher",,o que tem de ser descascado,Rudolph (1909)
arani,trazer,,,Rudolph (1909)
aranko,"mar, pântano",,,Rudolph (1909)
aranrlat,"acordar, despertar",,,Rudolph (1909)
arapmum,"apanhar, levar consigo, trazer",,,Rudolph (1909)
arapmum nuk é é,"cumprimento de despedida, não se deixe vencer",,crazyyyy,Rudolph (1909)
arapokan,armadilha de pássaro,,,Rudolph (1909)
arat,"atado, amarrado, ligado",,,Rudolph (1909)
are he,como está,,soa como ererré,Rudolph (1909)
àrek,"pequeno, plano, claro",,,Rudolph (1909)
arit,"atado, amarrado",,,Rudolph (1909)
arlan,"jovem, adolescente",,,Rudolph (1909)
arrot,arroz,,nos Nak nian nuk existia uma mulher com o nome arrot,Rudolph (1909)
arum,tosse,,,Rudolph (1909)
ascha pet,"assa-peixe, urtiga-mansa",,,Rudolph (1909)
at,,,,Rudolph (1909)
ata,"quebrado, despedaçado",,ver ita,Rudolph (1909)
atak,"cobrir, tapar",,,Rudolph (1909)
atan,"quebrado, despedaçado",,,Rudolph (1909)
ataran,arara,,Ver kataran,Rudolph (1909)
ate e ati,perfurado,,,Rudolph (1909)
ati,"eu, a mim",,,Rudolph (1909)
ati amjaji,eu sei,,conjugado,Rudolph (1909)
ati hinkre,eu venho aqui,,,Rudolph (1909)
ati mum,eu quero ir e nós queremos ir,,conjugado,Rudolph (1909)
ati ti,eu próprio,,,Rudolph (1909)
ati we ampmeram,perguntar,,,Rudolph (1909)
atji,comer,,,Rudolph (1909)
atne,cortar,,,Rudolph (1909)
atnin,espirrar,,,Rudolph (1909)
ato,"ferir, torcer, nublado",,,Rudolph (1909)
atokon um,dá-me um pouco,,,Rudolph (1909)
atom,esmagar,,,Rudolph (1909)
atscha pet,assa-peixe,,,Rudolph (1909)
atsche,"remover, cortar, bater",,,Rudolph (1909)
atschek,"apagar, extinguir",,,Rudolph (1909)
atschin,"comer, comer a sua carne",,,Rudolph (1909)
atschin pen,procurar,,,Rudolph (1909)
atschol,"pintar, colorir",,,Rudolph (1909)
atschuk,açúcar,,,Rudolph (1909)
atuk,"cobrir, tapar, coberto, tapado",,,Rudolph (1909)
au maha,perguntar,,,Rudolph (1909)
au nuk,não fale,,,Rudolph (1909)
au num,"a palavra, esteja quieto",,,Rudolph (1909)
au nun,esteja quieto,,,Rudolph (1909)
aui,"esfregar, remexer",,,Rudolph (1909)
aujajinuk,ele não sabe disso,,au = om,Rudolph (1909)
aun,falar,,,Rudolph (1909)
aun potschik,um sozinho deve falar,,,Rudolph (1909)
avin,mentira,,,Rudolph (1909)
avin nuk,"verdade, não minta",,,Rudolph (1909)
avit,"dar, trocar",,,Rudolph (1909)
avo,estripar,,,Rudolph (1909)
avok ,fora,,,Rudolph (1909)
bakan,"ave, pássaro",,,Rudolph (1909)
bakan kriknin,colibri,,,Rudolph (1909)
bakanetik,flecha para caçar aves,,,Rudolph (1909)
bakantik,flecha para caçar aves,,,Rudolph (1909)
batik,coelho,,,Rudolph (1909)
batna,pescar,,,Rudolph (1909)
batnak,lambari,,,Rudolph (1909)
be,mel,,,Rudolph (1909)
bekáne,abelha,,,Rudolph (1909)
brakak,"guigó, sagui, mico",,,Rudolph (1909)
eche,jacaré,,,Rudolph (1909)
ehe,jacaré,,,Rudolph (1909)
eklek,feio,,,Rudolph (1909)
ekre,"onde, para onde",,,Rudolph (1909)
em em,"trepadeira, pica-pau",,,Rudolph (1909)
emburuk,amarelo,,,Rudolph (1909)
emo,o primeiro,,,Rudolph (1909)
empehek,bocejar,,,Rudolph (1909)
empijan,urinar,,,Rudolph (1909)
empijun,urinar,,,Rudolph (1909)
emporum kitom he he,um nativo bonito,,o botocudo é bonito para os olhos,Rudolph (1909)
emprtum,botocudo,,"bococudo = bimporum (him artigo, po irmão, rum fora de, logo vindo)",Rudolph (1909)
en,"concha, moluscos",,,Rudolph (1909)
en,e?,,,Rudolph (1909)
en anhut,levantar-se,,,Rudolph (1909)
en en,trepadeira-do-bosque,,,Rudolph (1909)
en niji,nós,,,Rudolph (1909)
en nik,sanguessuga,,,Rudolph (1909)
en ninji,nós,,,Rudolph (1909)
en ti,ir,,,Rudolph (1909)
era,maduro,,,Rudolph (1909)
erarat,"descansar, repousar",,,Rudolph (1909)
ereha,"bom, muito",,,Rudolph (1909)
erehe,"bom, muito",,,Rudolph (1909)
erehu,"bom, muito",,,Rudolph (1909)
eremum,levar consigo,,,Rudolph (1909)
erum,tossir,,,Rudolph (1909)
et et,"luminoso, estrela, brilhante, pirilampo",,,Rudolph (1909)
eti,"é, está, está aqui, esquecer",,,Rudolph (1909)
gamra,"lá, longe",,G é como K em muitas palavras símbolo do superlativo,Rudolph (1909)
gantschok,contente,,,Rudolph (1909)
garríscho,garrincha,,,Rudolph (1909)
glintscha,catar,,,Rudolph (1909)
gnini,eu,,,Rudolph (1909)
gnumrin,cana-de-açúcar,,ver numrin,Rudolph (1909)
gorantscha,dobrar ramos para marcar o caminho,,,Rudolph (1909)
gra tamu,a serpente rasteja,,,Rudolph (1909)
gran,"serpente, a serpente",,,Rudolph (1909)
gran jak,serpente venenosa,,,Rudolph (1909)
gran pakischu teminajan jop,"arco-íris, a grande serpente que bebe água",,,Rudolph (1909)
gran rhehe,cainama,,espécie de cobre. rherhe porque não é venenosa,Rudolph (1909)
granti,rastejar,,,Rudolph (1909)
grintscha,cantar,,,Rudolph (1909)
grlinuk,espero,,conjugado,Rudolph (1909)
grok,"forte, forte e severo, severo",,,Rudolph (1909)
grok hingrok,nígua,,,Rudolph (1909)
grom pim,palmito,,,Rudolph (1909)
guarantschak,o corpo prejudicial,,"kuarantschak - que derriva, do corpo prejudicial",Rudolph (1909)
guaschik,flecha,,,Rudolph (1909)
gumrin,cana-de-açúcar,,,Rudolph (1909)
gumrin nek,doce,,,Rudolph (1909)
h,,,,Rudolph (1909)
ha a,"a verdade, é assim, eu agradeço, sapucaia, sim, eu sei",,,Rudolph (1909)
ha un,"nu, apresentar-se nu",,,Rudolph (1909)
hak,"qual, onde, o quê, saliva, cuspo",,,Rudolph (1909)
hak haknan,"canção, carcará",,,Rudolph (1909)
hak jet jet,camaleão,,,Rudolph (1909)
hak mum pram,onde é o caminho,,,Rudolph (1909)
hak nim,qual,,,Rudolph (1909)
hak nimo hoti,de onde vêm,,,Rudolph (1909)
hakan,palmeira trepadeira,,,Rudolph (1909)
hakan,"pico, espinho",,,Rudolph (1909)
hakanian,o que é isto,,,Rudolph (1909)
hakanim,"chama, vê aqui",,,Rudolph (1909)
hakanin,o que é isto,,,Rudolph (1909)
hakare,para onde,,,Rudolph (1909)
hakare hoti,para onde vão,,,Rudolph (1909)
haknan,"canção, carcará",,,Rudolph (1909)
haknijuk,qual é o meu?,,,Rudolph (1909)
haknjanjan,polyborys vulgaris,,,Rudolph (1909)
hakre,"onde é, para onde é",,,Rudolph (1909)
hakremu,para onde vão,,,Rudolph (1909)
ham,eu quero longe,,,Rudolph (1909)
ham ham tscha,"ladrar, latir",,,Rudolph (1909)
ham mum,vamos,,,Rudolph (1909)
ham om,falar,,,Rudolph (1909)
ham tekan,nós queremos ir dançar,,conjugado,Rudolph (1909)
hamanja pram,conversar,,,Rudolph (1909)
han,rir,,,Rudolph (1909)
han han,jacu,,espécie de pássaro penelope superciliaris; han -- por causa da testa e garganta nuas,Rudolph (1909)
han nik nik,"sagui, macaco",,,Rudolph (1909)
hanguim,"nu, não tem nada",,,Rudolph (1909)
haõn,"nu, abelha malífera, rir",,,Rudolph (1909)
haõp,rã,,,Rudolph (1909)
haõp tum,"rã, espécie grande de rã",,,Rudolph (1909)
haõp tum jipakischu,rã-touro,,,Rudolph (1909)
hapa,"ser, estar, existir",,,Rudolph (1909)
hapan,"largar, soltar",,,Rudolph (1909)
hapane,"deixar, abandonar",,,Rudolph (1909)
hapiki,boca,,,Rudolph (1909)
hapiki jakip,fecha a boca,,,Rudolph (1909)
haran,inhambu-xintã,,,Rudolph (1909)
haran inku,"azul escuro, cor do ovo de inhambu",,,Rudolph (1909)
haran pororo,"chororão, espécie de pássaro",,,Rudolph (1909)
hataran,arara,,,Rudolph (1909)
hataran kuschi,"maracanã, papagaio",,,Rudolph (1909)
hatne,"cortar, talhar",,,Rudolph (1909)
hau ēn,"armazenar, depositar",,,Rudolph (1909)
he um,"dar, me dá",,,Rudolph (1909)
hek hek,"liso, rasteiro, sofrer, criar pus",,,Rudolph (1909)
hekre,para onde,,,Rudolph (1909)
hem hem,espera,,,Rudolph (1909)
hem nun pam,caça sem sucesso,,,Rudolph (1909)
hemuham,"eu vou emborar, partir",,,Rudolph (1909)
hemum ha,fugir,,,Rudolph (1909)
hemum ham,"vamos, retiremo-nos",,,Rudolph (1909)
hemum ham ham,"um vai na frente, os outros vêm depois",,,Rudolph (1909)
hemum ham pip,vi trilhos de animais,,,Rudolph (1909)
hemum pam,caça sem sucesso,,,Rudolph (1909)
hemumni,vem aqui,,,Rudolph (1909)
hen,"fechar, encerrar, fechar, tapar",,,Rudolph (1909)
hep,"paciência, tem paciência, sentar, sentar-se",,,Rudolph (1909)
hep ampim,"não está presente, escuro",,"escuro, logo não é visível se está sentado",Rudolph (1909)
hep intscham,"permanecer, ficar",,permanecer sentado no ninho,Rudolph (1909)
hepat im,"dar, trocar",,,Rudolph (1909)
herak herak,"maracanã, papagaio",,,Rudolph (1909)
here hek,sofrer,,,Rudolph (1909)
here mum,trazer consigo,,,Rudolph (1909)
herehe,"bom, bonito, agradecido, gratidão",,,Rudolph (1909)
herehe numrin,"melhor, bom em si",,,Rudolph (1909)
herehe um,"dar, dar algo bom",,,Rudolph (1909)
herehe wa um,"me dá algo, quer me dar algo valioso",,,Rudolph (1909)
hian,ver,,,Rudolph (1909)
hieren,macaco-prego-do-peito-amarelo,,,Rudolph (1909)
hijinku,caçar,,difficult to read,Rudolph (1909)
hijotang,caçar,,,Rudolph (1909)
hikatak,"jequitibá-rosa, espécie de árvore",,,Rudolph (1909)
hikre njep,"onde é, sentem-se",,,Rudolph (1909)
hilihek,"pomba, pombo",,,Rudolph (1909)
him,artigo,,"se encontra certamente com frequência nas palavras começadas por ""in""",Rudolph (1909)
him,"sujo, preto",,,Rudolph (1909)
him brakak,macaco,,gênero callthrix ?,Rudolph (1909)
him mon mon,a onça preta,,"a escura, muito malvada",Rudolph (1909)
him no mo,"tu andas, vocês andam",,conjugado,Rudolph (1909)
him nu mu,nós vivemos,,nós andamos,Rudolph (1909)
him nun mu,viver,,,Rudolph (1909)
him pakan tamu,o pássaro voa,,,Rudolph (1909)
him panta,cada,,,Rudolph (1909)
him po u,o mesmo,,,Rudolph (1909)
him puken puk,"saudade, ansiedade",,muitas lágrimas,Rudolph (1909)
him tãn,capanga,,,Rudolph (1909)
himjoschum,cotovelo,,,Rudolph (1909)
himkata,direito,,,Rudolph (1909)
himkati,lábios,,,Rudolph (1909)
himkma,"fecha a boca, o grande buraco",,,Rudolph (1909)
himkma apok,"o botoque, a rolha da boca",,,Rudolph (1909)
himkmakat,lábio,,,Rudolph (1909)
himkomijk,sangue,,o que a ponta da flecha torna visível,Rudolph (1909)
himmak,asa,,,Rudolph (1909)
himmakat,lábio,,"da boca, do buraco, da pele",Rudolph (1909)
himmapok,botoque,,,Rudolph (1909)
himnan,"pátria, terra",,,Rudolph (1909)
himo hum,lavar,,,Rudolph (1909)
himpa,"frequentemente, muitas vezes",,,Rudolph (1909)
himpaton,bola,,o que é pouco achatado,Rudolph (1909)
himpijan,urinar,,,Rudolph (1909)
himpmim,tórax,,,Rudolph (1909)
himpo jipo,clavícula,,,Rudolph (1909)
himpo krakate,espaço entre os dedos,,,Rudolph (1909)
himpok,peixe,,,Rudolph (1909)
himpok intjem,nassa,,,Rudolph (1909)
himpok intschem,nassa,,,Rudolph (1909)
himpok jokejam,pescar,,,Rudolph (1909)
himpok jokijem,pescar,,,Rudolph (1909)
himpok jokischem,pescar,,,Rudolph (1909)
himpok jokoschem,pescar,,,Rudolph (1909)
himpok jokoschem,pescar,,,Rudolph (1909)
himpok kat,"escama, escama de peixe",,,Rudolph (1909)
himpok kavo,pescar,,,Rudolph (1909)
himpok mon mon,piau,,,Rudolph (1909)
himpok schakijun,pescar,,,Rudolph (1909)
himpok tatu,"vermelho, pirarucu",,,Rudolph (1909)
himpokra,dedo,,"o que vem da mão, ou seja, o que, saindo, se move)",Rudolph (1909)
himpokrin,corça,,,Rudolph (1909)
himpon,"o, a, o mesmo",,,Rudolph (1909)
himponik,face,,,Rudolph (1909)
himponjik,calcanhar,,,Rudolph (1909)
himponjik,face,,,Rudolph (1909)
himponjuk,fim de dia,,,Rudolph (1909)
himporum,botocudo,,"bococudo = bimporum (him artigo, po irmão, rum fora de, logo vindo)",Rudolph (1909)
himporum,"nativos, botocudos",,que vieram do outro lado,Rudolph (1909)
himposchum,cotovelo,,,Rudolph (1909)
himpota,acrescentar,,,Rudolph (1909)
himpram,respirar,,,Rudolph (1909)
himpram amrun,um caminho mais distante,,,Rudolph (1909)
himpram mum,respirar,,,Rudolph (1909)
himpram mum pó,"descansar, repousar",,,Rudolph (1909)
himpram um,respirar,,,Rudolph (1909)
himprom põn,o grito da onça,,,Rudolph (1909)
himpu,"cheiro, cheirar",,,Rudolph (1909)
himpum,o suco,,,Rudolph (1909)
himum,queremos ir,,conjugado,Rudolph (1909)
himum mu,viver,,,Rudolph (1909)
hinan,"quem, qual, carraça, carrapato",,,Rudolph (1909)
hinan,"pátria, terra",,,Rudolph (1909)
hinan pe,quem foi,,,Rudolph (1909)
hinan tamu,quem foi que passou aqui,,,Rudolph (1909)
hineren,espécie de onça,,,Rudolph (1909)
hinfran rlhéhé,cainana,,,Rudolph (1909)
hingli,"gritar, berrar",,,Rudolph (1909)
hingnan,"terra, pátria, naturalidade",,,Rudolph (1909)
hingoe,"nós, nós todos",,,Rudolph (1909)
hingoe jaji,nós sabemos,,,Rudolph (1909)
hingora,"preto, o homem negro",,,Rudolph (1909)
hingrak,corte,,,Rudolph (1909)
hingran,"cólera, fúria, nós, nosso, serpente, surucucu",,"vários, para que possam formar uma serpente (andando em fila) em suas caminhadas",Rudolph (1909)
hingran imbrukukuk,cobra-coral,,,Rudolph (1909)
hingran jokeschek,jararaca-do-norte,,,Rudolph (1909)
hingran kijokojek,jararaca-do-norte,,,Rudolph (1909)
hingran kopoto,cobra-coral,,,Rudolph (1909)
hingran krokoschek,jobóia,,,Rudolph (1909)
hingran mum,nós vamos,,,Rudolph (1909)
hingran pakischu,cascavel de madeira,,,Rudolph (1909)
hingrok,pulga,,que morde,Rudolph (1909)
hingrok npit,pulga,,que morde,Rudolph (1909)
hingrom jipi,"palmito, quer dar couve-palmeira",,,Rudolph (1909)
hingrop hip,"esperar, aguardar",,,Rudolph (1909)
hingru ti gru,empalidecer,,,Rudolph (1909)
hingwe,nós,,,Rudolph (1909)
hinhijak numrin,irmã,,,Rudolph (1909)
hinjan,"o descendente, o que descende, trigo, magro",,,Rudolph (1909)
hinjikak numrin,irmã,,,Rudolph (1909)
hinjim pram,respirar,,,Rudolph (1909)
hinjin,pequeno,,,Rudolph (1909)
hinjok,"mole, brando",,,Rudolph (1909)
hinjuknan,mulher,,que dá a luz através do hímen,Rudolph (1909)
hinjuknan jaka,mulher idosa,,,Rudolph (1909)
hinjuknan oran,mulher jovem,,,Rudolph (1909)
hinjuknan vaha,"mulher núbil, virgem",,,Rudolph (1909)
hinkáki,flor,,,Rudolph (1909)
hinkakrok,"estômago, barriga",,"o fraco, o necessitado",Rudolph (1909)
hinkan,"correto, direita, visão, ver, mostrar",,,Rudolph (1909)
hinkan kata wo,direita,,,Rudolph (1909)
hinkan nuk,esquerda,,,Rudolph (1909)
hinkánki,flor,,"que se vê muito ""ki""",Rudolph (1909)
hinkatan,lagarto,,,Rudolph (1909)
hinkek,"ladrão, roubar",,também nome de onça,Rudolph (1909)
hinkoek uruhu,estômago,,,Rudolph (1909)
hinkoko,fumo,,,Rudolph (1909)
hinkoko ahut,o fumo sobe,,,Rudolph (1909)
hinkõn,cão,,,Rudolph (1909)
